timestamp,game_round,map,latency,killer_id,victim_id,killer_ip,victim_ip,player_id,player_ip,suicide_count,deaths_total,killed_by_Player_1022.0,killed_Player_1022.0,killed_by_Player_1.0,killed_Player_1.0,killed_by_Player_2.0,killed_Player_2.0,killed_by_Player_0.0,killed_Player_0.0,killed_by_Player_3.0,killed_Player_3.0
2024-09-05 12:09:08,7.0,aggressor,200.0,0.0,1.0,Player_138.25.249.93,Player_138.25.249.38,0.0,Player_138.25.249.93,6,1,0,0,0,1,0,4,1,0,0,1
2024-09-05 12:11:07,7.0,aggressor,200.0,0.0,1.0,Player_138.25.249.93,Player_138.25.249.38,0.0,Player_138.25.249.93,10,2,0,0,0,2,0,6,2,0,0,2
2024-09-05 12:11:21,7.0,aggressor,200.0,0.0,1.0,Player_138.25.249.93,Player_138.25.249.38,0.0,Player_138.25.249.93,12,3,0,0,0,3,0,6,3,0,0,3
2024-09-05 12:11:52,7.0,aggressor,200.0,0.0,1.0,Player_138.25.249.93,Player_138.25.249.38,0.0,Player_138.25.249.93,15,4,0,0,0,4,0,6,4,0,0,5
2024-09-05 12:07:07,7.0,aggressor,0.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,1,1,0,0,0,0,0,1,1,0,0,0
2024-09-05 12:07:38,7.0,aggressor,200.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,2,2,0,0,0,0,0,2,2,0,0,0
2024-09-05 12:07:48,7.0,aggressor,200.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,3,3,0,0,0,0,0,3,3,0,0,0
2024-09-05 12:08:40,7.0,aggressor,200.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,5,4,0,0,0,0,0,4,4,0,0,1
2024-09-05 12:09:18,7.0,aggressor,200.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,7,5,0,0,0,1,0,5,5,0,0,1
2024-09-05 12:10:49,7.0,aggressor,200.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,9,6,0,0,0,1,0,6,6,0,0,2
2024-09-05 12:12:07,7.0,aggressor,200.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,16,7,0,0,0,4,0,7,7,0,0,5
2024-09-05 12:08:22,7.0,aggressor,200.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,4,1,0,0,0,0,0,3,1,0,0,1
2024-09-05 12:10:15,7.0,aggressor,200.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,8,2,0,0,0,1,0,5,2,0,0,2
2024-09-05 12:11:12,7.0,aggressor,200.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,11,3,0,0,0,2,0,6,3,0,0,3
2024-09-05 12:11:27,7.0,aggressor,200.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,13,4,0,0,0,3,0,6,4,0,0,4
2024-09-05 12:11:33,7.0,aggressor,200.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,14,5,0,0,0,3,0,6,5,0,0,5
