timestamp,game_round,map,latency,killer_id,victim_id,killer_ip,victim_ip,player_id,player_ip,suicide_count,deaths_total,killed_by_Player_1022.0,killed_Player_1022.0,killed_by_Player_1.0,killed_Player_1.0,killed_by_Player_2.0,killed_Player_2.0,killed_by_Player_0.0,killed_Player_0.0,killed_by_Player_3.0,killed_Player_3.0
2024-09-05 12:28:01,11.0,aggressor,100.0,0.0,1.0,Player_138.25.249.93,Player_138.25.249.38,0.0,Player_138.25.249.93,1,1,0,0,0,1,0,0,1,0,0,0
2024-09-05 12:29:15,11.0,aggressor,50.0,0.0,1.0,Player_138.25.249.93,Player_138.25.249.38,0.0,Player_138.25.249.93,4,2,0,0,0,2,0,0,2,0,0,2
2024-09-05 12:29:24,11.0,aggressor,50.0,0.0,1.0,Player_138.25.249.93,Player_138.25.249.38,0.0,Player_138.25.249.93,6,3,0,0,0,3,0,1,3,0,0,2
2024-09-05 12:30:06,11.0,aggressor,50.0,0.0,1.0,Player_138.25.249.93,Player_138.25.249.38,0.0,Player_138.25.249.93,9,4,0,0,0,4,0,1,4,0,0,4
2024-09-05 12:31:53,11.0,aggressor,50.0,0.0,1.0,Player_138.25.249.93,Player_138.25.249.38,0.0,Player_138.25.249.93,12,5,0,0,0,5,0,2,5,0,0,5
2024-09-05 12:32:12,11.0,aggressor,50.0,0.0,1.0,Player_138.25.249.93,Player_138.25.249.38,0.0,Player_138.25.249.93,13,6,0,0,0,6,0,2,6,0,0,5
2024-09-05 12:29:18,11.0,aggressor,50.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,5,1,0,0,0,2,0,1,1,0,0,2
2024-09-05 12:30:53,11.0,aggressor,50.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,10,2,0,0,0,4,0,2,2,0,0,4
2024-09-05 12:32:14,11.0,aggressor,50.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,14,3,0,0,0,6,0,3,3,0,0,5
2024-09-05 12:32:44,11.0,aggressor,50.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,15,4,0,0,0,6,0,4,4,0,0,5
2024-09-05 12:32:58,11.0,aggressor,50.0,0.0,2.0,Player_138.25.249.93,Player_138.25.249.94,0.0,Player_138.25.249.93,16,5,0,0,0,6,0,5,5,0,0,5
2024-09-05 12:28:59,11.0,aggressor,50.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,2,1,0,0,0,1,0,0,1,0,0,1
2024-09-05 12:29:14,11.0,aggressor,50.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,3,2,0,0,0,1,0,0,2,0,0,2
2024-09-05 12:29:36,11.0,aggressor,50.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,7,3,0,0,0,3,0,1,3,0,0,3
2024-09-05 12:30:02,11.0,aggressor,50.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,8,4,0,0,0,3,0,1,4,0,0,4
2024-09-05 12:30:57,11.0,aggressor,50.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,11,5,0,0,0,4,0,2,5,0,0,5
2024-09-05 12:33:00,11.0,aggressor,50.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,17,6,0,0,0,6,0,5,6,0,0,6
2024-09-05 12:33:12,11.0,aggressor,50.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,18,7,0,0,0,6,0,5,7,0,0,7
2024-09-05 12:33:23,11.0,aggressor,50.0,0.0,3.0,Player_138.25.249.93,Player_138.25.249.81,0.0,Player_138.25.249.93,19,8,0,0,0,6,0,5,8,0,0,8
