timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_172.19.137.208,killed_Player_172.19.137.208,killed_by_Player_172.19.114.48,killed_Player_172.19.114.48,killed_by_Player_172.19.119.51,killed_Player_172.19.119.51,killed_by_Player_172.19.116.18,killed_Player_172.19.116.18,killed_by_Player_172.19.120.104,killed_Player_172.19.120.104,killed_by_Player_172.19.117.18,killed_Player_172.19.117.18
2024-05-23 13:02:07,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.120.104,Player_172.19.137.208,0,2,1,0,1,0,0,0,0,0,0,1,0,0
2024-05-23 13:02:13,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.116.18,Player_172.19.137.208,0,2,1,0,0,0,0,0,0,1,0,1,1,0
2024-05-23 13:03:05,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.114.48,Player_172.19.137.208,0,2,1,0,0,1,1,0,0,1,0,1,0,0
2024-05-23 13:03:16,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.114.48,Player_172.19.137.208,0,3,2,0,0,2,1,0,0,1,0,1,0,0
2024-05-23 13:03:25,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.116.18,Player_172.19.137.208,0,6,2,0,0,2,2,0,0,2,0,1,2,0
2024-05-23 13:03:38,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.116.18,Player_172.19.137.208,0,7,3,0,0,2,2,0,0,3,0,1,2,0
2024-05-23 13:04:24,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.119.51,Player_172.19.137.208,0,4,1,0,0,2,0,1,0,3,0,1,1,0
2024-05-23 13:04:30,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.119.51,Player_172.19.137.208,0,5,2,0,0,2,0,2,0,3,0,1,1,0
2024-05-23 13:04:32,14,wrackdm17,50.0,<world>,Player_172.19.137.208,Player_172.19.137.208,0,4,0,1,1,2,1,2,0,3,0,1,1,0
2024-05-23 13:05:16,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.116.18,Player_172.19.137.208,0,10,4,1,1,2,3,2,0,4,0,1,2,0
2024-05-23 13:06:02,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.117.18,Player_172.19.137.208,0,9,1,1,2,2,5,2,0,4,0,1,0,1
2024-05-23 13:06:04,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.119.51,Player_172.19.137.208,0,8,3,1,1,2,0,3,0,4,0,1,1,1
2024-05-23 13:06:29,14,wrackdm17,50.0,Player_172.19.137.208,Player_172.19.114.48,Player_172.19.137.208,0,8,3,1,0,3,4,3,0,4,0,1,0,1
