timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_172.19.137.208,killed_Player_172.19.137.208,killed_by_Player_172.19.114.48,killed_Player_172.19.114.48,killed_by_Player_172.19.119.51,killed_Player_172.19.119.51,killed_by_Player_172.19.116.18,killed_Player_172.19.116.18,killed_by_Player_172.19.120.104,killed_Player_172.19.120.104,killed_by_Player_172.19.117.18,killed_Player_172.19.117.18
2024-05-23 13:16:14,17,wrackdm17,150.0,Player_172.19.117.18,Player_172.19.116.18,Player_172.19.117.18,0,4,0,0,1,0,2,0,0,1,0,0,1,0
2024-05-23 13:16:30,17,wrackdm17,150.0,Player_172.19.117.18,Player_172.19.116.18,Player_172.19.117.18,0,5,0,0,1,0,2,0,0,2,0,0,2,0
2024-05-23 13:16:52,17,wrackdm17,150.0,Player_172.19.117.18,Player_172.19.119.51,Player_172.19.117.18,0,3,0,0,2,0,0,1,0,2,0,0,1,0
2024-05-23 13:17:56,17,wrackdm17,150.0,<world>,Player_172.19.117.18,Player_172.19.117.18,0,8,3,0,1,0,2,1,1,2,0,0,0,1
2024-05-23 13:18:12,17,wrackdm17,150.0,Player_172.19.117.18,Player_172.19.114.48,Player_172.19.117.18,0,5,0,0,0,1,2,1,0,2,0,0,1,1
2024-05-23 13:18:23,17,wrackdm17,150.0,Player_172.19.117.18,Player_172.19.137.208,Player_172.19.117.18,0,4,0,1,0,1,0,1,0,2,0,0,1,1
2024-05-23 13:18:51,17,wrackdm17,150.0,Player_172.19.117.18,Player_172.19.114.48,Player_172.19.117.18,0,7,1,1,0,2,2,1,0,2,0,0,2,1
