timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_172.19.137.208,killed_Player_172.19.137.208,killed_by_Player_172.19.114.48,killed_Player_172.19.114.48,killed_by_Player_172.19.119.51,killed_Player_172.19.119.51,killed_by_Player_172.19.116.18,killed_Player_172.19.116.18,killed_by_Player_172.19.120.104,killed_Player_172.19.120.104,killed_by_Player_172.19.117.18,killed_Player_172.19.117.18
2024-05-23 12:14:58,6,aggressor,200.0,Player_172.19.119.51,Player_172.19.137.208,Player_172.19.119.51,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2024-05-23 12:15:17,6,aggressor,200.0,Player_172.19.119.51,Player_172.19.116.18,Player_172.19.119.51,0,3,1,1,0,0,1,0,0,1,0,0,1,0
2024-05-23 12:15:33,6,aggressor,200.0,Player_172.19.119.51,Player_172.19.117.18,Player_172.19.119.51,0,5,4,1,0,0,1,0,0,1,0,0,0,1
2024-05-23 12:15:34,6,aggressor,200.0,Player_172.19.119.51,Player_172.19.137.208,Player_172.19.119.51,0,2,0,2,0,0,2,0,0,1,0,0,0,1
2024-05-23 12:16:56,6,aggressor,200.0,Player_172.19.119.51,Player_172.19.117.18,Player_172.19.119.51,0,7,5,2,0,0,2,0,0,1,0,0,0,2
2024-05-23 12:17:17,6,aggressor,200.0,Player_172.19.119.51,Player_172.19.114.48,Player_172.19.119.51,0,10,5,2,0,1,1,0,0,1,1,0,3,2
2024-05-23 12:17:43,6,aggressor,200.0,Player_172.19.119.51,Player_172.19.117.18,Player_172.19.119.51,0,9,6,2,0,1,3,0,0,1,0,0,0,3
2024-05-23 12:18:27,6,aggressor,200.0,Player_172.19.119.51,Player_172.19.114.48,Player_172.19.119.51,0,12,5,2,0,2,2,0,0,1,1,0,4,3
2024-05-23 12:18:40,6,aggressor,200.0,Player_172.19.119.51,Player_172.19.114.48,Player_172.19.119.51,0,13,5,2,0,3,3,0,0,1,1,0,4,3
