timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_<world>,killed_<world>,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94
2024-09-05 02:02:40,6,wrackdm17,0.0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,3,1,0,1,0,1,0,0,0,0,1
2024-09-05 02:02:48,6,wrackdm17,0.0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,4,1,0,1,0,2,0,0,0,0,2
2024-09-05 02:03:55,6,wrackdm17,0.0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,6,2,0,1,0,3,0,0,0,0,3
2024-09-05 02:05:21,6,wrackdm17,0.0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,10,4,0,2,0,4,0,0,0,0,4
2024-09-05 02:05:24,6,wrackdm17,0.0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,5,1,0,0,1,1,0,0,0,3,4
2024-09-05 02:06:21,6,wrackdm17,0.0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,12,5,0,2,1,5,0,0,0,0,5
