timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_172.19.137.208,killed_Player_172.19.137.208,killed_by_Player_172.19.114.48,killed_Player_172.19.114.48,killed_by_Player_172.19.119.51,killed_Player_172.19.119.51,killed_by_Player_172.19.116.18,killed_Player_172.19.116.18,killed_by_Player_172.19.120.104,killed_Player_172.19.120.104,killed_by_Player_172.19.117.18,killed_Player_172.19.117.18
2024-05-23 13:01:58,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.120.104,Player_172.19.114.48,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2024-05-23 13:02:22,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.137.208,Player_172.19.114.48,0,1,0,1,1,0,0,0,0,0,0,1,0,0
2024-05-23 13:03:58,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.117.18,Player_172.19.114.48,0,5,0,1,1,0,4,0,0,0,0,1,0,1
2024-05-23 13:04:54,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.116.18,Player_172.19.114.48,0,9,3,1,1,0,3,0,0,1,0,1,2,1
2024-05-23 13:05:02,14,wrackdm17,50.0,<world>,Player_172.19.114.48,Player_172.19.114.48,0,6,2,1,0,1,3,0,0,1,0,1,0,1
2024-05-23 13:05:10,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.119.51,Player_172.19.114.48,0,6,2,1,1,1,0,1,0,1,0,1,1,1
2024-05-23 13:05:11,14,wrackdm17,50.0,<world>,Player_172.19.120.104,Player_172.19.114.48,0,11,1,1,1,1,4,1,1,1,0,2,2,1
2024-05-23 13:05:21,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.117.18,Player_172.19.114.48,0,7,0,1,2,1,5,1,0,1,0,2,0,2
2024-05-23 13:05:34,14,wrackdm17,50.0,<world>,Player_172.19.120.104,Player_172.19.114.48,0,13,1,1,1,1,5,1,1,1,0,3,2,2
2024-05-23 13:05:50,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.116.18,Player_172.19.114.48,0,12,4,1,2,1,3,1,0,2,0,3,3,2
2024-05-23 13:06:21,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.137.208,Player_172.19.114.48,0,8,0,2,2,1,2,1,1,2,0,3,2,2
2024-05-23 13:06:24,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.117.18,Player_172.19.114.48,0,11,1,2,3,1,6,1,0,2,0,3,0,3
2024-05-23 13:06:43,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.116.18,Player_172.19.114.48,0,14,4,2,3,1,3,1,0,3,0,3,3,3
2024-05-23 13:06:50,14,wrackdm17,50.0,Player_172.19.114.48,Player_172.19.137.208,Player_172.19.114.48,0,10,0,3,3,1,3,1,1,3,0,3,2,3
