timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_Player_172.19.137.208,killed_Player_172.19.137.208,killed_by_Player_172.19.114.48,killed_Player_172.19.114.48,killed_by_Player_172.19.119.51,killed_Player_172.19.119.51,killed_by_Player_172.19.116.18,killed_Player_172.19.116.18,killed_by_Player_172.19.120.104,killed_Player_172.19.120.104,killed_by_Player_172.19.117.18,killed_Player_172.19.117.18
2024-05-23 12:14:53,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.116.18,Player_172.19.117.18,0,2,1,0,0,0,0,0,0,1,0,0,1,0
2024-05-23 12:15:04,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.114.48,Player_172.19.117.18,0,4,3,0,0,1,0,0,0,1,0,0,1,0
2024-05-23 12:15:12,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.120.104,Player_172.19.117.18,0,2,0,0,1,1,0,0,0,1,0,1,1,0
2024-05-23 12:15:14,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.114.48,Player_172.19.117.18,0,5,3,0,0,2,0,0,0,1,0,1,2,0
2024-05-23 12:15:37,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.120.104,Player_172.19.117.18,0,5,0,0,3,2,0,0,0,1,0,2,2,0
2024-05-23 12:15:48,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.137.208,Player_172.19.117.18,0,3,0,1,0,2,2,0,0,1,0,2,1,0
2024-05-23 12:15:53,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.120.104,Player_172.19.117.18,0,6,0,1,3,2,0,0,0,1,0,3,3,0
2024-05-23 12:15:59,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.114.48,Player_172.19.117.18,0,7,3,1,0,3,0,0,0,1,1,3,3,0
2024-05-23 12:16:12,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.120.104,Player_172.19.117.18,0,7,0,1,3,3,0,0,0,1,0,4,4,0
2024-05-23 12:16:24,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.137.208,Player_172.19.117.18,0,6,0,2,2,3,2,0,0,1,0,4,2,0
2024-05-23 12:17:01,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.116.18,Player_172.19.117.18,0,7,1,2,3,3,1,0,0,2,0,4,2,0
2024-05-23 12:17:06,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.137.208,Player_172.19.117.18,0,7,0,3,2,3,2,0,0,2,0,4,3,0
2024-05-23 12:17:52,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.116.18,Player_172.19.117.18,0,8,1,3,3,3,1,0,0,3,0,4,3,0
2024-05-23 12:17:56,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.120.104,Player_172.19.117.18,0,12,0,3,7,3,0,0,0,3,0,5,5,0
2024-05-23 12:17:58,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.114.48,Player_172.19.117.18,0,11,5,3,0,4,1,0,0,3,1,5,4,0
2024-05-23 12:18:00,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.120.104,Player_172.19.117.18,0,13,0,3,7,4,0,0,0,3,0,6,6,0
2024-05-23 12:18:06,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.137.208,Player_172.19.117.18,0,9,0,4,3,4,2,0,0,3,0,6,4,0
2024-05-23 12:18:13,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.119.51,Player_172.19.117.18,0,8,0,4,6,4,0,1,0,3,1,6,1,0
2024-05-23 12:18:28,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.137.208,Player_172.19.117.18,0,11,0,5,4,4,2,1,0,3,0,6,5,0
2024-05-23 12:18:28,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.116.18,Player_172.19.117.18,0,10,1,5,3,4,1,1,0,4,1,6,4,0
2024-05-23 12:18:47,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.120.104,Player_172.19.117.18,0,15,0,5,7,4,0,1,1,4,0,7,7,0
2024-05-23 12:18:49,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.119.51,Player_172.19.117.18,0,9,0,5,6,4,0,2,0,4,1,7,2,0
2024-05-23 12:18:55,6,aggressor,200.0,Player_172.19.117.18,Player_172.19.120.104,Player_172.19.117.18,0,16,0,5,7,4,0,2,1,4,0,8,8,0
