timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_<world>,killed_<world>,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94
2024-09-05 01:53:14,2,aggressor,,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.81,0,5,0,0,3,0,0,0,1,0,1,1
2024-09-05 01:53:14,2,aggressor,,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,0,3,0,0,1,0,1,0,0,1,1,1
2024-09-05 01:53:14,2,aggressor,,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.81,0,10,0,0,0,1,2,0,3,1,5,1
2024-09-05 01:53:14,2,aggressor,,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,0,5,0,0,2,1,2,0,0,2,1,1
2024-09-05 01:53:14,2,aggressor,,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.81,0,6,0,0,2,1,2,0,0,3,2,1
2024-09-05 01:53:14,2,aggressor,,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,12,0,0,0,2,3,0,3,3,6,1
2024-09-05 01:53:14,2,aggressor,,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.81,0,8,0,0,5,2,1,0,1,3,1,2
2024-09-05 01:53:14,2,aggressor,,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,13,0,0,0,3,4,0,3,3,6,2
2024-09-05 01:53:14,2,aggressor,,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,0,7,0,0,2,3,3,0,0,4,2,2
