timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_<world>,killed_<world>,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94
2024-09-05 02:18:20,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,0,2,0,0,0,0,1,0,0,1,1,0
2024-09-05 02:18:28,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,0,3,0,0,0,0,2,0,0,2,1,0
2024-09-05 02:18:31,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,3,0,0,1,0,1,0,1,2,0,1
2024-09-05 02:18:38,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,0,4,0,0,0,0,3,0,0,3,1,1
2024-09-05 02:19:09,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,0,5,0,0,0,0,4,0,0,4,1,1
2024-09-05 02:19:16,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,5,0,0,0,1,1,0,3,4,1,1
2024-09-05 02:19:30,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,6,0,0,1,1,2,0,3,4,0,2
2024-09-05 02:20:24,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,8,0,0,0,2,2,0,3,4,3,2
2024-09-05 02:20:44,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,9,0,0,0,3,3,0,3,4,3,2
2024-09-05 02:20:53,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,12,0,0,1,3,3,0,7,4,1,3
2024-09-05 02:21:11,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.93,Player_138.25.249.81,0,10,0,0,3,3,5,0,0,5,2,3
2024-09-05 02:21:13,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,10,0,0,0,4,4,0,3,5,3,3
2024-09-05 02:21:15,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,13,0,0,1,4,4,0,7,5,1,4
2024-09-05 02:21:36,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,11,0,0,0,5,5,0,3,5,3,4
2024-09-05 02:22:19,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.38,Player_138.25.249.81,0,12,0,0,0,6,6,0,3,5,3,4
2024-09-05 02:22:35,9,aggressor,100.0,Player_138.25.249.81,Player_138.25.249.94,Player_138.25.249.81,0,16,0,0,2,6,5,0,8,5,1,5
