timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_<world>,killed_<world>,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94
2024-09-05 02:23:48,10,wrackdm17,100.0,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,1,0,0,0,1,0,0,1,0,0,0
2024-09-05 02:24:59,10,wrackdm17,100.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,4,0,0,0,1,0,1,1,0,3,0
2024-09-05 02:26:46,10,wrackdm17,100.0,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,5,3,0,0,1,1,1,1,0,0,1
2024-09-05 02:27:18,10,wrackdm17,100.0,<world>,Player_138.25.249.93,Player_138.25.249.93,0,11,2,0,5,1,3,1,0,1,1,1
2024-09-05 02:27:43,10,wrackdm17,100.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,8,1,0,1,1,1,2,2,1,3,1
2024-09-05 02:27:45,10,wrackdm17,100.0,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,11,1,0,0,2,5,2,2,1,3,1
