timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_<world>,killed_<world>,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94
2024-09-05 02:33:57,12,wrackdm17,50.0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,1,0,0,1,0,0,0,0,0,0,1
2024-09-05 02:34:16,12,wrackdm17,50.0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,1,0,0,1,0,0,1,0,0,0,1
2024-09-05 02:34:25,12,wrackdm17,50.0,<world>,Player_138.25.249.38,Player_138.25.249.38,0,2,1,0,0,1,1,1,0,0,0,1
2024-09-05 02:35:26,12,wrackdm17,50.0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,5,0,0,2,1,0,2,3,0,0,1
2024-09-05 02:35:44,12,wrackdm17,50.0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,3,0,0,2,1,0,2,1,0,0,2
2024-09-05 02:36:31,12,wrackdm17,50.0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,7,0,0,3,1,0,3,4,0,0,2
2024-09-05 02:37:06,12,wrackdm17,50.0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,8,0,0,4,1,0,4,4,0,0,2
2024-09-05 02:37:24,12,wrackdm17,50.0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,0,5,3,0,1,1,0,4,0,1,1,2
2024-09-05 02:37:38,12,wrackdm17,50.0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,10,0,0,5,1,0,5,4,1,1,2
2024-09-05 02:38:31,12,wrackdm17,50.0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,12,0,0,6,1,0,6,5,1,1,2
