timestamp,game_round,map,latency,event,killer_id,victim_id,weapon_id,killer_ip,victim_ip,weapon,player_id,score,player_ip,points,log_line
2024-09-05 02:44:36,14,wrackdm17,150.0,Kill,3.0,1.0,1.0,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN,3.0,1.0,Player_138.25.249.81,1.0,2024-09-05 02:44:36: \x08 \x08Kill: 3 1 1: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 3 1: Player_138.25.249.81 now has 1 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 02:44:42,14,wrackdm17,150.0,Death,1022.0,3.0,22.0,<world>,Player_138.25.249.81,MOD_TRIGGER_HURT,3.0,0.0,Player_138.25.249.81,0.0,2024-09-05 02:44:42: \x08 \x08Kill: 1022 3 22: <world> killed Player_138.25.249.81 by MOD_TRIGGER_HURT\x08 \x08PlayerScore: 3 0: Player_138.25.249.81 now has 0 points
2024-09-05 02:44:42,14,wrackdm17,150.0,Kill,1022.0,3.0,22.0,<world>,Player_138.25.249.81,MOD_TRIGGER_HURT,3.0,0.0,Player_138.25.249.81,0.0,2024-09-05 02:44:42: \x08 \x08Kill: 1022 3 22: <world> killed Player_138.25.249.81 by MOD_TRIGGER_HURT\x08 \x08PlayerScore: 3 0: Player_138.25.249.81 now has 0 points
2024-09-05 02:45:01,14,wrackdm17,150.0,Death,1.0,3.0,22.0,Player_138.25.249.38,Player_138.25.249.81,MOD_TRIGGER_HURT,3.0,2.0,Player_138.25.249.81,2.0,2024-09-05 02:45:01: \x08 \x08Kill: 1 3 22: Player_138.25.249.38 killed Player_138.25.249.81 by MOD_TRIGGER_HURT\x08 \x08PlayerScore: 1 2: Player_138.25.249.38 now has 2 points\x08 \x08Challenge: 1 214 1: Client 1 got award 214\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 3 2 1: Client 3 got award 2
2024-09-05 02:45:35,14,wrackdm17,150.0,Kill,3.0,2.0,10.0,Player_138.25.249.81,Player_138.25.249.94,MOD_RAILGUN,3.0,1.0,Player_138.25.249.81,1.0,2024-09-05 02:45:35: \x08 \x08Kill: 3 2 10: Player_138.25.249.81 killed Player_138.25.249.94 by MOD_RAILGUN\x08 \x08PlayerScore: 3 1: Player_138.25.249.81 now has 1 points\x08 \x08Challenge: 3 208 1: Client 3 got award 208\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 2 2 1: Client 2 got award 2
2024-09-05 02:46:28,14,wrackdm17,150.0,Kill,3.0,1.0,1.0,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN,3.0,1.0,Player_138.25.249.81,1.0,2024-09-05 02:46:28: \x08 \x08Kill: 3 1 1: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 3 1: Player_138.25.249.81 now has 1 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 02:46:39,14,wrackdm17,150.0,Kill,3.0,1.0,1.0,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN,3.0,2.0,Player_138.25.249.81,2.0,2024-09-05 02:46:39: \x08 \x08Kill: 3 1 1: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 3 2: Player_138.25.249.81 now has 2 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 02:46:52,14,wrackdm17,150.0,Kill,3.0,1.0,1.0,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN,3.0,3.0,Player_138.25.249.81,3.0,2024-09-05 02:46:52: \x08 \x08Kill: 3 1 1: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 3 3: Player_138.25.249.81 now has 3 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 02:47:16,14,wrackdm17,150.0,Kill,3.0,1.0,1.0,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN,3.0,4.0,Player_138.25.249.81,4.0,2024-09-05 02:47:16: \x08 \x08Kill: 3 1 1: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 3 4: Player_138.25.249.81 now has 4 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 02:47:17,14,wrackdm17,150.0,Death,2.0,3.0,4.0,Player_138.25.249.94,Player_138.25.249.81,MOD_GRENADE,3.0,1.0,Player_138.25.249.81,1.0,2024-09-05 02:47:17: \x08 \x08Kill: 2 3 4: Player_138.25.249.94 killed Player_138.25.249.81 by MOD_GRENADE\x08 \x08PlayerScore: 2 1: Player_138.25.249.94 now has 1 points\x08 \x08Challenge: 2 204 1: Client 2 got award 204\x08 \x08Challenge: 2 1 1: Client 2 got award 1\x08 \x08Challenge: 3 2 1: Client 3 got award 2
