timestamp,game_round,map,latency,event,killer_id,victim_id,weapon_id,killer_ip,victim_ip,weapon,player_id,score,player_ip,points,log_line,log_score
2024-05-23 13:20:58,18,aggressor,150.0,Kill,6.0,3.0,7.0,Player_172.19.116.18,Player_172.19.119.51,MOD_ROCKET_SPLASH,6.0,1.0,Player_172.19.116.18,1.0,2024-05-23 13:20:58: \x08 \x08Kill: 6 3 7: Player_172.19.116.18 killed Player_172.19.119.51 by MOD_ROCKET_SPLASH\x08 \x08PlayerScore: 6 1: Player_172.19.116.18 now has 1 points\x08 \x08Challenge: 6 205 1: Client 6 got award 205\x08 \x08Challenge: 6 1 1: Client 6 got award 1\x08 \x08Challenge: 3 2 1: Client 3 got award 2,1.0
2024-05-23 13:21:38,18,aggressor,150.0,Kill,6.0,5.0,6.0,Player_172.19.116.18,Player_172.19.117.18,MOD_ROCKET,6.0,2.0,Player_172.19.116.18,2.0,2024-05-23 13:21:38: \x08 \x08Kill: 6 5 6: Player_172.19.116.18 killed Player_172.19.117.18 by MOD_ROCKET\x08 \x08PlayerScore: 6 2: Player_172.19.116.18 now has 2 points\x08 \x08Challenge: 6 205 1: Client 6 got award 205\x08 \x08Challenge: 6 1 1: Client 6 got award 1\x08 \x08Challenge: 5 2 1: Client 5 got award 2,2.0
2024-05-23 13:25:03,18,aggressor,150.0,Kill,6.0,4.0,10.0,Player_172.19.116.18,Player_172.19.120.104,MOD_RAILGUN,6.0,3.0,Player_172.19.116.18,3.0,2024-05-23 13:25:03: \x08 \x08Kill: 6 4 10: Player_172.19.116.18 killed Player_172.19.120.104 by MOD_RAILGUN\x08 \x08PlayerScore: 6 3: Player_172.19.116.18 now has 3 points\x08 \x08Challenge: 6 208 1: Client 6 got award 208\x08 \x08Challenge: 6 1 1: Client 6 got award 1\x08 \x08Challenge: 4 2 1: Client 4 got award 2\x08 \x08Challenge: 6 301 1: Client 6 got award 301,3.0
