original_timestamp,timestamp,killer_id,victim_id,weapon_id,killer,victim,weapon
1725503564.958361,2024-09-05 12:32:44.958361,1,3,8,Player_138.25.249.38,Player_138.25.249.81,MOD_PLASMA\n]\x08 \x08PlayerScore: 1 12: Player_138.25.249.38 now has 12 points\n]\x08 \x08Challenge: 1 207 1: Client 1 got award 207\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503568.616410,2024-09-05 12:32:48.616410,2,1,3,Player_138.25.249.94,Player_138.25.249.38,MOD_MACHINEGUN\n]\x08 \x08PlayerScore: 2 9: Player_138.25.249.94 now has 9 points\n]\x08 \x08Challenge: 2 202 1: Client 2 got award 202\n]\x08 \x08Challenge: 2 1 1: Client 2 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
1725503571.458369,2024-09-05 12:32:51.458369,2,0,9,Player_138.25.249.94,Player_138.25.249.93,MOD_PLASMA_SPLASH\n]\x08 \x08PlayerScore: 2 10: Player_138.25.249.94 now has 10 points\n]\x08 \x08Challenge: 2 207 1: Client 2 got award 207\n]\x08 \x08Challenge: 2 1 1: Client 2 got award 1\n]\x08 \x08Challenge: 0 2 1: Client 0 got award 2\n]\x08 \x08Award: 2 1: Player_138.25.249.94 gained the EXCELLENT award!\n]\x08 \x08Challenge: 2 302 1: Client 2 got award 302\n]'
1725503573.808461,2024-09-05 12:32:53.808461,2,3,8,Player_138.25.249.94,Player_138.25.249.81,MOD_PLASMA\n]\x08 \x08PlayerScore: 2 11: Player_138.25.249.94 now has 11 points\n]\x08 \x08Challenge: 2 207 1: Client 2 got award 207\n]\x08 \x08Challenge: 2 1 1: Client 2 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]\x08 \x08Award: 2 1: Player_138.25.249.94 gained the EXCELLENT award!\n]\x08 \x08Challenge: 2 302 1: Client 2 got award 302\n]'
1725503578.174419,2024-09-05 12:32:58.174419,0,2,3,Player_138.25.249.93,Player_138.25.249.94,MOD_MACHINEGUN\n]\x08 \x08PlayerScore: 0 15: Player_138.25.249.93 now has 15 points\n]\x08 \x08Challenge: 0 202 1: Client 0 got award 202\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 2 2 1: Client 2 got award 2\n]'
1725503580.748334,2024-09-05 12:33:00.748334,0,3,11,Player_138.25.249.93,Player_138.25.249.81,MOD_LIGHTNING\n]\x08 \x08PlayerScore: 0 16: Player_138.25.249.93 now has 16 points\n]\x08 \x08Challenge: 0 206 1: Client 0 got award 206\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]\x08 \x08Award: 0 1: Player_138.25.249.93 gained the EXCELLENT award!\n]\x08 \x08Challenge: 0 302 1: Client 0 got award 302\n]'
1725503592.937172,2024-09-05 12:33:12.937172,0,3,11,Player_138.25.249.93,Player_138.25.249.81,MOD_LIGHTNING\n]\x08 \x08PlayerScore: 0 17: Player_138.25.249.93 now has 17 points\n]\x08 \x08Challenge: 0 206 1: Client 0 got award 206\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503603.099232,2024-09-05 12:33:23.099232,0,3,18,Player_138.25.249.93,Player_138.25.249.81,MOD_TELEFRAG\n]\x08 \x08PlayerScore: 0 18: Player_138.25.249.93 now has 18 points\n]\x08 \x08Challenge: 0 216 1: Client 0 got award 216\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503634.836502,2024-09-05 12:33:54.836502,1022,0,22,<world>,Player_138.25.249.93,MOD_TRIGGER_HURT\n]'
1725503637.568744,2024-09-05 12:33:57.568744,1,2,1,Player_138.25.249.38,Player_138.25.249.94,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 1 1: Player_138.25.249.38 now has 1 points\n]\x08 \x08Challenge: 1 203 1: Client 1 got award 203\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 2 2 1: Client 2 got award 2\n]'
1725503648.706119,2024-09-05 12:34:08.706119,3,1,1,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 3 1: Player_138.25.249.81 now has 1 points\n]\x08 \x08Challenge: 3 203 1: Client 3 got award 203\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
1725503656.934671,2024-09-05 12:34:16.934671,1,3,3,Player_138.25.249.38,Player_138.25.249.81,MOD_MACHINEGUN\n]\x08 \x08PlayerScore: 1 2: Player_138.25.249.38 now has 2 points\n]\x08 \x08Challenge: 1 202 1: Client 1 got award 202\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503665.102591,2024-09-05 12:34:25.102591,1022,1,22,<world>,Player_138.25.249.38,MOD_TRIGGER_HURT\n]\x08 \x08PlayerScore: 1 1: Player_138.25.249.38 now has 1 points\n]'
1725503671.627946,2024-09-05 12:34:31.627946,0,3,22,Player_138.25.249.93,Player_138.25.249.81,MOD_TRIGGER_HURT\n]\x08 \x08PlayerScore: 0 1: Player_138.25.249.93 now has 1 points\n]\x08 \x08Challenge: 0 214 1: Client 0 got award 214\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
