original_timestamp,timestamp,game_round,map,latency,event,player_id,item_id,item,log_line
1725501351.534130,2024-09-05 11:55:51.534,5,kaos2,,ItemPickup,2,8,item_health_small,1725501351.534130: b'\x08 \x08Item: 2 item_health_small\n]'
1725501351.699020,2024-09-05 11:55:51.699,5,kaos2,,ItemPickup,2,8,item_health_small,1725501351.699020: b'\x08 \x08Item: 2 item_health_small\n]'
1725501352.259983,2024-09-05 11:55:52.259,5,kaos2,,ItemPickup,2,15,weapon_grenadelauncher,1725501352.259983: b'\x08 \x08Item: 2 weapon_grenadelauncher\n]'
1725501355.274057,2024-09-05 11:55:55.274,5,kaos2,,ItemPickup,2,16,ammo_grenades,1725501355.274057: b'\x08 \x08Item: 2 ammo_grenades\n]'
1725501360.950546,2024-09-05 11:56:00.950,5,kaos2,,ItemPickup,2,17,item_quad,1725501360.950546: b'\x08 \x08Item: 2 item_quad\n]'
1725501367.185296,2024-09-05 11:56:07.185,5,kaos2,,ItemPickup,2,1,item_armor_shard,1725501367.185296: b'\x08 \x08Item: 2 item_armor_shard\n]'
1725501367.663132,2024-09-05 11:56:07.663,5,kaos2,,ItemPickup,1,1,item_armor_shard,1725501367.663132: b'\x08 \x08Item: 1 item_armor_shard\n]'
1725501373.049031,2024-09-05 11:56:13.049,5,kaos2,,ItemPickup,1,2,ammo_rockets,1725501373.049031: b'\x08 \x08Item: 1 ammo_rockets\n]'
1725501378.196335,2024-09-05 11:56:18.196,5,kaos2,,ItemPickup,1,8,item_health_small,1725501378.196335: b'\x08 \x08Item: 1 item_health_small\n]'
1725501378.856249,2024-09-05 11:56:18.856,5,kaos2,,ItemPickup,1,8,item_health_small,1725501378.856249: b'\x08 \x08Item: 1 item_health_small\n]'
1725501379.021232,2024-09-05 11:56:19.021,5,kaos2,,ItemPickup,1,8,item_health_small,1725501379.021232: b'\x08 \x08Item: 1 item_health_small\n]'
1725501383.223095,2024-09-05 11:56:23.223,5,kaos2,,ItemPickup,2,13,ammo_slugs,1725501383.223095: b'\x08 \x08Item: 2 ammo_slugs\n]'
1725501390.936407,2024-09-05 11:56:30.936,6,kaos2,0,ItemPickup,1,8,item_health_small,1725501390.936407: b'\x08 \x08Item: 1 item_health_small\n]'
1725501391.049653,2024-09-05 11:56:31.049,6,kaos2,0,ItemPickup,2,1,item_armor_shard,1725501391.049653: b'\x08 \x08Item: 2 item_armor_shard\n]'
1725501391.697615,2024-09-05 11:56:31.697,6,kaos2,0,ItemPickup,1,8,item_health_small,1725501391.697615: b'\x08 \x08Item: 1 item_health_small\n]'
1725501391.862630,2024-09-05 11:56:31.862,6,kaos2,0,ItemPickup,1,8,item_health_small,1725501391.862630: b'\x08 \x08Item: 1 item_health_small\n]'
1725501394.711786,2024-09-05 11:56:34.711,6,kaos2,0,ItemPickup,1,9,weapon_shotgun,1725501394.711786: b'\x08 \x08Item: 1 weapon_shotgun\n]'
1725501395.305662,2024-09-05 11:56:35.305,6,kaos2,0,ItemPickup,1,18,ammo_bullets,1725501395.305662: b'\x08 \x08Item: 1 ammo_bullets\n]'
1725501396.368281,2024-09-05 11:56:36.368,6,kaos2,0,ItemPickup,2,2,ammo_rockets,1725501396.368281: b'\x08 \x08Item: 2 ammo_rockets\n]'
1725501397.219833,2024-09-05 11:56:37.219,6,kaos2,0,ItemPickup,1,1,item_armor_shard,1725501397.219833: b'\x08 \x08Item: 1 item_armor_shard\n]'
1725501397.450825,2024-09-05 11:56:37.450,6,kaos2,0,ItemPickup,1,1,item_armor_shard,1725501397.450825: b'\x08 \x08Item: 1 item_armor_shard\n]'
1725501404.246440,2024-09-05 11:56:44.246,7,aggressor,0,ItemPickup,1,15,weapon_grenadelauncher,1725501404.246440: b'\x08 \x08Item: 1 weapon_grenadelauncher\n]'
1725501404.426184,2024-09-05 11:56:44.426,7,aggressor,0,ItemPickup,3,2,ammo_rockets,1725501404.426184: b'\x08 \x08Item: 3 ammo_rockets\n]\x08 \x08Item: 3 weapon_rocketlauncher\n]'
1725501404.662323,2024-09-05 11:56:44.662,7,aggressor,0,ItemPickup,0,8,item_health_small,1725501404.662323: b'\x08 \x08Item: 0 item_health_small\n]\x08 \x08Item: 0 item_health_small\n]'
1725501404.665312,2024-09-05 11:56:44.665,7,aggressor,0,ItemPickup,2,9,weapon_shotgun,1725501404.665312: b'\x08 \x08Item: 2 weapon_shotgun\n]'
1725501404.794251,2024-09-05 11:56:44.794,7,aggressor,0,ItemPickup,0,8,item_health_small,1725501404.794251: b'\x08 \x08Item: 0 item_health_small\n]\x08 \x08Item: 0 item_health_small\n]'
1725501405.467127,2024-09-05 11:56:45.467,7,aggressor,0,ItemPickup,1,2,ammo_rockets,1725501405.467127: b'\x08 \x08Item: 1 ammo_rockets\n]'
1725501406.048259,2024-09-05 11:56:46.048,7,aggressor,0,ItemPickup,0,5,ammo_cells,1725501406.048259: b'\x08 \x08Item: 0 ammo_cells\n]'
1725501406.444217,2024-09-05 11:56:46.444,7,aggressor,0,ItemPickup,0,18,ammo_bullets,1725501406.444217: b'\x08 \x08Item: 0 ammo_bullets\n]'
1725501406.765433,2024-09-05 11:56:46.765,7,aggressor,0,ItemPickup,1,1,item_armor_shard,1725501406.765433: b'\x08 \x08Item: 1 item_armor_shard\n]\x08 \x08Item: 1 item_armor_shard\n]'
1725501406.864152,2024-09-05 11:56:46.864,7,aggressor,0,ItemPickup,1,1,item_armor_shard,1725501406.864152: b'\x08 \x08Item: 1 item_armor_shard\n]\x08 \x08Item: 1 item_armor_shard\n]'
1725501408.929828,2024-09-05 11:56:48.929,7,aggressor,0,ItemPickup,2,11,weapon_lightning,1725501408.929828: b'\x08 \x08Item: 2 weapon_lightning\n]'
1725501409.322713,2024-09-05 11:56:49.322,7,aggressor,0,ItemPickup,2,4,item_armor_combat,1725501409.322713: b'\x08 \x08Item: 2 item_armor_combat\n]'
1725501409.899060,2024-09-05 11:56:49.899,7,aggressor,0,ItemPickup,0,10,weapon_plasmagun,1725501409.899060: b'\x08 \x08Item: 0 weapon_plasmagun\n]'
1725501410.843217,2024-09-05 11:56:50.843,7,aggressor,0,ItemPickup,2,19,ammo_shells,1725501410.843217: b'\x08 \x08Item: 2 ammo_shells\n]'
1725501415.008757,2024-09-05 11:56:55.008,7,aggressor,0,ItemPickup,2,3,weapon_rocketlauncher,1725501415.008757: b'\x08 \x08Item: 2 weapon_rocketlauncher\n]'
1725501416.918895,2024-09-05 11:56:56.918,7,aggressor,0,ItemPickup,3,20,weapon_railgun,1725501416.918895: b'\x08 \x08Item: 3 weapon_railgun\n]'
1725501417.482365,2024-09-05 11:56:57.482,7,aggressor,0,ItemPickup,2,3,weapon_rocketlauncher,1725501417.482365: b'\x08 \x08Item: 2 weapon_rocketlauncher\n]'
