timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_<world>,killed_<world>,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94
2024-09-05 02:08:42,7,aggressor,200.0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,3,0,0,1,0,0,1,1,0,1,0
2024-09-05 02:09:04,7,aggressor,200.0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,6,0,0,1,0,1,1,4,0,0,1
2024-09-05 02:09:56,7,aggressor,200.0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,6,0,0,2,0,0,2,1,0,3,1
2024-09-05 02:10:04,7,aggressor,200.0,Player_138.25.249.38,Player_138.25.249.38,Player_138.25.249.38,1,5,0,0,1,1,3,2,1,0,0,1
2024-09-05 02:10:16,7,aggressor,200.0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,1,9,0,0,2,1,2,2,5,0,0,2
2024-09-05 02:10:38,7,aggressor,200.0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,1,5,0,0,1,1,0,2,0,1,4,2
2024-09-05 02:11:59,7,aggressor,200.0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,1,7,0,0,2,1,1,2,0,2,4,2
2024-09-05 02:12:02,7,aggressor,200.0,Player_138.25.249.38,Player_138.25.249.38,Player_138.25.249.38,2,12,0,0,2,2,5,2,4,2,1,2
