timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_<world>,killed_<world>,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94
2024-09-05 02:13:21,8,wrackdm17,200.0,Player_138.25.249.38,Player_138.25.249.81,Player_138.25.249.38,0,2,0,0,1,0,0,1,1,0,0,0
2024-09-05 02:13:39,8,wrackdm17,200.0,<world>,Player_138.25.249.38,Player_138.25.249.38,0,5,2,0,0,1,0,1,2,0,1,0
2024-09-05 02:14:06,8,wrackdm17,200.0,<world>,Player_138.25.249.94,Player_138.25.249.38,0,3,1,0,0,1,0,1,1,0,1,1
2024-09-05 02:15:27,8,wrackdm17,200.0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,0,6,2,0,1,1,3,1,0,1,0,1
2024-09-05 02:15:48,8,wrackdm17,200.0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,10,4,0,1,1,0,1,4,1,1,2
2024-09-05 02:16:30,8,wrackdm17,200.0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,0,7,2,0,2,1,3,1,0,2,0,2
2024-09-05 02:16:30,8,wrackdm17,200.0,Player_138.25.249.38,Player_138.25.249.94,Player_138.25.249.38,0,12,4,0,2,1,1,1,4,2,1,3
2024-09-05 02:16:53,8,wrackdm17,200.0,Player_138.25.249.38,Player_138.25.249.93,Player_138.25.249.38,0,8,2,0,3,1,3,1,0,3,0,3
2024-09-05 02:17:01,8,wrackdm17,200.0,<world>,Player_138.25.249.38,Player_138.25.249.38,0,10,3,0,0,2,1,1,5,3,1,3
