timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_<world>,killed_<world>,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94
2024-09-05 02:17:42,9,aggressor,200.0,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,1,0,0,0,0,0,0,0,1,1,0
2024-09-05 02:18:42,9,aggressor,100.0,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,3,0,0,0,1,0,0,2,1,1,0
2024-09-05 02:18:44,9,aggressor,100.0,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,0,1,0,0,0,1,0,1,0,1,1,0
2024-09-05 02:19:56,9,aggressor,100.0,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,6,0,0,0,2,1,1,3,1,2,0
2024-09-05 02:20:01,9,aggressor,100.0,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,0,7,0,0,1,2,4,1,0,2,2,0
2024-09-05 02:20:12,9,aggressor,100.0,Player_138.25.249.94,Player_138.25.249.38,Player_138.25.249.94,0,7,0,0,0,3,1,1,3,2,3,0
2024-09-05 02:20:41,9,aggressor,100.0,Player_138.25.249.94,Player_138.25.249.94,Player_138.25.249.94,1,11,0,0,1,3,2,1,7,2,1,1
2024-09-05 02:21:33,9,aggressor,100.0,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,1,11,0,0,3,3,5,1,0,3,3,1
2024-09-05 02:21:39,9,aggressor,100.0,Player_138.25.249.94,Player_138.25.249.81,Player_138.25.249.94,1,10,0,0,2,3,0,2,6,3,2,1
2024-09-05 02:22:17,9,aggressor,100.0,Player_138.25.249.94,Player_138.25.249.93,Player_138.25.249.94,1,12,0,0,3,3,5,2,0,4,4,1
