timestamp,game_round,map,latency,killer_ip,victim_ip,player_ip,suicide_count,deaths_total,killed_by_<world>,killed_<world>,killed_by_Player_138.25.249.38,killed_Player_138.25.249.38,killed_by_Player_138.25.249.81,killed_Player_138.25.249.81,killed_by_Player_138.25.249.93,killed_Player_138.25.249.93,killed_by_Player_138.25.249.94,killed_Player_138.25.249.94
2024-09-05 02:39:22,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,1,0,0,0,0,0,1,1,0,0,0
2024-09-05 02:39:38,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,3,0,0,0,0,2,1,1,0,0,1
2024-09-05 02:39:42,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,3,0,0,0,0,0,2,2,0,1,1
2024-09-05 02:39:46,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,1,0,0,0,1,0,2,1,0,0,1
2024-09-05 02:40:52,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,6,0,0,0,1,0,3,3,0,3,1
2024-09-05 02:41:26,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,8,0,0,1,1,0,4,4,0,3,1
2024-09-05 02:41:40,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,3,0,0,0,2,1,4,2,0,0,1
2024-09-05 02:41:54,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,7,0,0,0,2,5,4,2,0,0,2
2024-09-05 02:42:19,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,10,0,0,1,2,0,5,5,0,4,2
2024-09-05 02:42:29,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,11,0,0,1,2,0,6,6,0,4,2
2024-09-05 02:42:36,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,9,0,0,0,2,6,6,3,0,0,3
2024-09-05 02:42:36,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.38,Player_138.25.249.93,0,6,0,0,0,3,2,6,3,0,1,3
2024-09-05 02:42:47,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,12,0,0,1,3,0,7,7,0,4,3
2024-09-05 02:43:02,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,13,0,0,1,3,0,8,8,0,4,3
2024-09-05 02:43:19,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.94,Player_138.25.249.93,0,11,0,0,0,3,7,8,4,0,0,4
2024-09-05 02:43:27,13,aggressor,150.0,Player_138.25.249.93,Player_138.25.249.81,Player_138.25.249.93,0,15,0,0,2,3,0,9,9,0,4,4
